Module	Section	Sample Name	Source
FastQC	all_sections	ERR3141407_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141407_1_fastqc.zip
FastQC	all_sections	ERR3141407_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141407_2_fastqc.zip
FastQC	all_sections	ERR3141408_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141408_1_fastqc.zip
FastQC	all_sections	ERR3141408_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141408_2_fastqc.zip
FastQC	all_sections	ERR3141409_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141409_1_fastqc.zip
FastQC	all_sections	ERR3141409_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141409_2_fastqc.zip
FastQC	all_sections	ERR3141410_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141410_1_fastqc.zip
FastQC	all_sections	ERR3141410_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141410_2_fastqc.zip
FastQC	all_sections	ERR3141411_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141411_1_fastqc.zip
FastQC	all_sections	ERR3141411_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141411_2_fastqc.zip
FastQC	all_sections	ERR3141412_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141412_1_fastqc.zip
FastQC	all_sections	ERR3141412_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141412_2_fastqc.zip
FastQC	all_sections	ERR3141413_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141413_1_fastqc.zip
FastQC	all_sections	ERR3141413_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141413_2_fastqc.zip
FastQC	all_sections	ERR3141414_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141414_1_fastqc.zip
FastQC	all_sections	ERR3141414_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141414_2_fastqc.zip
FastQC	all_sections	ERR3141415_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141415_1_fastqc.zip
FastQC	all_sections	ERR3141415_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141415_2_fastqc.zip
FastQC	all_sections	ERR3141416_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141416_1_fastqc.zip
FastQC	all_sections	ERR3141416_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141416_2_fastqc.zip
FastQC	all_sections	ERR3141417_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141417_1_fastqc.zip
FastQC	all_sections	ERR3141417_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141417_2_fastqc.zip
FastQC	all_sections	ERR3141418_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141418_1_fastqc.zip
FastQC	all_sections	ERR3141418_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141418_2_fastqc.zip
FastQC	all_sections	ERR3141419_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141419_1_fastqc.zip
FastQC	all_sections	ERR3141419_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141419_2_fastqc.zip
FastQC	all_sections	ERR3141420_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141420_1_fastqc.zip
FastQC	all_sections	ERR3141420_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141420_2_fastqc.zip
FastQC	all_sections	ERR3141421_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141421_1_fastqc.zip
FastQC	all_sections	ERR3141421_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141421_2_fastqc.zip
FastQC	all_sections	ERR3141422_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141422_1_fastqc.zip
FastQC	all_sections	ERR3141422_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141422_2_fastqc.zip
FastQC	all_sections	ERR3141423_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141423_1_fastqc.zip
FastQC	all_sections	ERR3141423_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141423_2_fastqc.zip
FastQC	all_sections	ERR3141424_1	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141424_1_fastqc.zip
FastQC	all_sections	ERR3141424_2	/local/workdir/kah357/Amplicon_Project/analysis/00_FastQC/fastqc_reports/ERR3141424_2_fastqc.zip
