Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
ERR3141386_1										9.473572736120706	5.28999137665848	17.731304746872148	10.898693387258634	35.83679191523911	0.0	0.0
ERR3141386_2										9.280430057640231	6.596099829046037	20.197277848098075	16.893176465841986	25.104009601662135	0.0	0.0
ERR3141387_1										11.285779241663061	6.489336926506304	19.104811968371205	11.302414301715629	29.528340597309555	0.0	0.0
ERR3141387_2										10.963613578645019	8.48554413281432	24.10752902817979	12.69476882811547	25.087888567277727	0.0	0.0
ERR3141388_1										9.171463283001552	3.8634456228944223	7.268032781038921	1.9921114384142993	32.866866852587556	21.171919763961302	11.585344108185987
ERR3141388_2										8.326260255962188	3.1135805463030986	7.395704799469341	2.4426486356687565	34.63359081712469	22.718724516118293	9.780817814169454
ERR3141389_1										9.381201837978939	3.9821387066206575	9.567145232518639	4.649925801433909	16.109134469256762	14.952798984462998	29.238704832740343
ERR3141389_2										8.128318821404946	3.4033004952530796	4.775080009297169	9.029876097334215	22.044125797858076	21.528758649049724	20.04568128587009
ERR3141390_1										12.244881892863187	5.250955524327984	18.43541993867325	14.871934154434774	24.796397545355422	0.0	0.0
ERR3141390_2										10.837673047325517	6.087014709760716	25.267566493078107	13.892989147762833	22.17052615833953	0.0	0.0
ERR3141391_1										9.709961239738847	3.5724286324849306	16.14003802337406	12.398862246326619	31.227064389194286	8.566312469603407	0.0
ERR3141391_2										9.286988047691333	3.4501053748544646	13.699467967518016	9.038657096959604	45.03411787245958	4.422796339144916	0.0
ERR3141392_1										11.602416041534656	4.057396316660875	10.569670707029413	8.586963187049037	18.548535453672095	15.997588046522084	12.525805858185313
ERR3141392_2										11.184412239641887	4.132514359299307	13.966334852727755	7.886372462849785	18.677309241052264	21.31614986816017	5.91592911309609
ERR3141393_1										9.809778803681372	5.290381163731102	14.441620380781847	9.35066808671337	37.367454057104545	4.8227841118838395	0.0
ERR3141393_2										8.533009721096604	5.334085788359295	20.922210011329256	14.023668387978258	34.4099663516822	0.0	0.0
ERR3141394_1										10.289547408887952	4.423698443636123	14.83697698766413	8.121355828398572	27.198917456021647	9.718066814812975	8.037971802543316
ERR3141394_2										9.544056974256474	4.183684870454743	18.545807418074677	8.013556628719693	28.058414337914282	12.310006496919137	2.3475810356171865
ERR3141395_1										9.991189112068232	5.545045105484666	18.09631150290491	14.130517427220724	30.080908102886124	0.0	0.0
ERR3141395_2										9.331937903366475	6.089799496392903	24.275114385004496	12.375943145173915	29.39661071529203	0.0	0.0
ERR3141396_1										9.407266475084668	4.388164263747942	17.91149156051782	12.521339200913731	35.412232133859014	0.0	0.0
ERR3141396_2										8.418715586243964	5.883969717421644	22.184828782497426	13.445757965362546	33.256476581085906	0.0	0.0
ERR3141397_1										9.64172002793329	4.5900552747760015	13.997419721377252	6.3418040645306375	47.577733852545364	0.0	0.0
ERR3141397_2										10.445393965935587	4.01718607596435	16.221430515937364	8.588303525986246	40.80627788890598	0.0	0.0
ERR3141398_1										9.411701414465789	4.853794393451578	19.68871820762603	14.361090189781747	28.995307184890294	0.0	0.0
ERR3141398_2										9.145609693518617	6.161906259569784	25.19180950646814	13.755245276147754	25.13635648841694	2.204878210274534	0.0
ERR3141399_1										10.100655658875437	3.9456498430707447	18.199894730686005	15.828735923478307	29.865944077301464	0.0	0.0
ERR3141399_2										10.056468539420758	6.349299179289238	21.736163908220753	15.113944285240851	19.06544242353354	3.509626943745898	0.0
ERR3141400_1										12.343265095954466	5.789275923013763	18.463058574669134	12.963942274239113	24.719929860695547	0.0	0.0
ERR3141400_2										13.576269535327107	6.335499672961577	19.27995880707516	10.472883643903865	24.96277328583158	0.0	0.0
ERR3141401_1										8.17596548788853	1.9652730142726091	6.237138536045157	8.237948446707053	46.657465640779826	14.852769811819739	0.0
ERR3141401_2										10.37842662457335	2.587581920810572	7.309030503880133	4.73715093263692	51.52354112775927	4.299138023652698	0.0
ERR3141402_1										11.387230514096187	7.7321724709784405	28.018242122719734	15.086235489220565	10.771144278606966	0.0	0.0
ERR3141402_2										12.335820895522389	9.799336650082918	30.29436152570481	15.812603648424545	6.548092868988391	0.0	0.0
ERR3141403_1										11.313002541988896	5.930283458640842	20.111663197990985	6.653713530907051	24.95756952070838	9.998233663305507	0.0
ERR3141403_2										11.317610376844094	7.341048896807538	19.909686436838104	8.206553877109044	21.76357199357975	9.2655879213289	0.0
ERR3141404_1										9.631507549981096	3.5014566237463027	13.036226566148509	11.158182667289346	38.42262103320213	0.0	0.0
ERR3141404_2										9.960637801054107	3.827251095247626	13.954677874886027	11.33942669068428	26.583939333288857	11.978784441924077	0.0
ERR3141405_1										12.042826581921487	3.9579851008068676	10.308714583462308	12.66809742944207	33.71613116242597	6.692943175330349	0.0
ERR3141405_2										10.10132276770053	4.366921865219395	14.564202040212686	15.542692447911294	34.58834616204764	0.0	0.0
ERR3141406_1										8.428572579151265	5.8782548465299085	22.193764547643784	13.343159285121736	23.47758152721064	7.852707371880059	0.0
ERR3141406_2										8.65448892969612	6.151690144248194	26.62832934657421	11.715836695902901	28.382503362569565	2.2317797053825275	0.0
ERR3141407_1										8.776751077420585	3.970625303552875	18.0477938238133	10.278684593961525	40.46797862987759	0.0	0.0
ERR3141407_2										7.8293587118906665	5.5992056905020995	20.877367712425535	12.784263818956454	34.406757778638486	0.0	0.0
ERR3141408_1										11.573590117277215	6.6238354303852525	19.876084451803415	12.197746018907804	19.410638119291608	8.975483949731796	0.0
ERR3141408_2										11.147058150270492	7.210603020059973	20.66352808320044	12.689135261756334	25.144021303707547	4.36451315076646	0.0
ERR3141409_1										9.006348773576638	4.173198827619112	13.678588468991304	7.119000555030819	27.130782788202186	17.50562333855906	5.747246755017186
ERR3141409_2										7.761424384353973	4.158105884300418	16.124862459468144	6.5406000175272885	34.600329123538174	13.39547406448095	2.7637126693087435
ERR3141410_1										9.750611344426135	4.195683376747648	16.486032108872468	12.007269682632502	21.973180585827443	14.219738450906386	3.6534474509595447
ERR3141410_2										9.264526075168785	4.865171973845091	18.013064164584552	10.575261814895539	26.432672372547977	14.089495507947477	0.0
ERR3141411_1										9.905761119120081	5.4416502037837935	16.587466851762862	13.46174381974478	30.897271610870842	2.3973517005713063	0.0
ERR3141411_2										8.745350347945255	6.5099578194244225	22.248918789043728	11.452382223646039	33.08327549077188	0.0	0.0
ERR3141412_1										11.001535341679025	4.104025948846398	18.153712330418106	10.797696463474065	31.792052903787	2.7531348742644246	0.0
ERR3141412_2										11.283975329731657	4.777375456541447	18.70339609195282	7.709196853859576	25.649638172891002	11.555935169804597	0.0
ERR3141413_1										10.318349728136804	6.524024958840051	26.33614189460286	14.305676614230967	18.44034920239627	0.0	0.0
ERR3141413_2										11.178903969341025	7.661284743839842	24.569376997468144	13.114459248191038	22.007775425780657	0.0	0.0
ERR3141414_1										10.28617263163477	6.253770226644481	23.15167746083936	16.92309731990746	21.946530728590087	0.0	0.0
ERR3141414_2										10.394224841401895	8.170868328770393	26.422411221520285	16.386813653026454	17.631734204821914	0.0	0.0
ERR3141415_1										12.4081547088727	7.084534353545411	22.963157067239663	9.570777212934333	22.17074576804151	0.0	0.0
ERR3141415_2										14.47513233059064	11.234212043393953	20.61736806247052	11.121010429222787	18.930873643938998	0.0	0.0
ERR3141416_1										12.025373483988394	7.1477056339466465	24.929568158199828	14.887098808815843	16.100508791215393	0.0	0.0
ERR3141416_2										11.416866398755355	8.097409189478173	29.807236008241578	12.874760471668079	13.676692316471739	0.0	0.0
ERR3141417_1										11.8074641050009	5.557624637197237	15.38925846967868	5.094007654175122	23.480081165078467	13.486630878689029	6.880409935016567
ERR3141417_2										11.512084863740272	4.027431741710117	13.981712172193255	5.509464978296047	22.600364729150076	19.58813859707703	6.5105437546554334
ERR3141418_1										10.1741476356075	3.875076183988815	4.55535438999032	2.0964041157279607	29.7377478220342	26.448392069694904	10.339959846556484
ERR3141418_2										8.43132685620048	2.238016706700606	5.30823145592084	3.5716846520632415	35.357437349872725	28.246334205714696	4.506058867816298
ERR3141419_1										9.777108933417072	5.770757545235866	13.59505160502897	8.982790423939361	16.931110347469915	16.851717995204858	11.524530656902593
