Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,miscellaneous_environmental_package,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Scientific_Name,Sequencing_method,SRA Study,Submitter_Id
ERR3141434,AMPLICON,502,32247978,PRJEB31110,SAMEA5320094,20722519,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170400,SAMEA5320094,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320094,T1F53,food metagenome,Illumina MiSeq,ERP113625,T1F53
ERR3141435,AMPLICON,502,55419796,PRJEB31110,SAMEA5320095,33796802,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170401,SAMEA5320095,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:40:00Z,1,SAMEA5320095,T1F54,food metagenome,Illumina MiSeq,ERP113625,T1F54
ERR3141437,AMPLICON,502,65260502,PRJEB31110,SAMEA5320097,39449448,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170403,SAMEA5320097,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320097,T1F56,food metagenome,Illumina MiSeq,ERP113625,T1F56
ERR3141438,AMPLICON,502,247988000,PRJEB31110,SAMEA5320098,154534624,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170404,SAMEA5320098,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320098,T1F57,food metagenome,Illumina MiSeq,ERP113625,T1F57
ERR3141439,AMPLICON,502,85215002,PRJEB31110,SAMEA5320099,49890805,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170405,SAMEA5320099,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320099,T1F58,food metagenome,Illumina MiSeq,ERP113625,T1F58
ERR3141441,AMPLICON,502,179654254,PRJEB31110,SAMEA5320101,112970327,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170407,SAMEA5320101,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320101,T1F6,food metagenome,Illumina MiSeq,ERP113625,T1F6
ERR3141442,AMPLICON,502,75621280,PRJEB31110,SAMEA5320102,46677179,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170408,SAMEA5320102,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:41:00Z,1,SAMEA5320102,T1F60,food metagenome,Illumina MiSeq,ERP113625,T1F60
ERR3141443,AMPLICON,502,95110928,PRJEB31110,SAMEA5320103,56445674,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170409,SAMEA5320103,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:42:00Z,1,SAMEA5320103,T1F61,food metagenome,Illumina MiSeq,ERP113625,T1F61
ERR3141445,AMPLICON,502,123252044,PRJEB31110,SAMEA5320105,73005155,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170411,SAMEA5320105,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:42:00Z,1,SAMEA5320105,T1F63,food metagenome,Illumina MiSeq,ERP113625,T1F63
ERR3141446,AMPLICON,502,229313600,PRJEB31110,SAMEA5320106,142263141,TEAGASC FOOD RESEARCH CENTRE,5/18/2016,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2/20/2019,2019-02-20T17:03:20Z,2/10/2019,2019-02-06T12:31:38Z,Food Processing,Dairy Processing,Bulk Tank Milk,ERX3170412,SAMEA5320106,Ireland,Europe,Ireland,52.1636? N,8.2629? W,TEAGASC FOOD RESEARCH CENTRE,2019-02-20T17:03:20Z,2019-02-06T12:31:38Z,public,Illumina MiSeq,metagenome,Farm Milk to Milk Powder 16S,PAIRED,PCR,METAGENOMIC,miscellaneous natural or artificial environment,food metagenome,ILLUMINA,farm to powder,2019-02-21T00:00:00Z,2019-02-23T10:42:00Z,1,SAMEA5320106,T1F64,food metagenome,Illumina MiSeq,ERP113625,T1F64
