"","Assay.Type","AvgSpotLen","Bases","BioProject","BioSample","Bytes","Center.Name","Collection_Date","Consent","DATASTORE.filetype","DATASTORE.provider","DATASTORE.region","ENA.FIRST.PUBLIC..run.","ENA.FIRST.PUBLIC","ENA.LAST.UPDATE..run.","ENA.LAST.UPDATE","environment_biome","environment_feature","environment_material","Experiment","external_id","geo_loc_name_country","geo_loc_name_country_continent","geographic_location_.country_and.or_sea.","geographic_location_.latitude.","geographic_location_.longitude.","INSDC_center_name","INSDC_first_public","INSDC_last_update","INSDC_status","Instrument","investigation_type","Library.Name","LibraryLayout","LibrarySelection","LibrarySource","miscellaneous_environmental_package","Organism","Platform","project_name","ReleaseDate","create_date","version","Sample.Name","Sample_name","Scientific_Name","Sequencing_method","SRA.Study","Submitter_Id","names","denoisedF","denoisedR","merged","nochim","num_ASVs"
"ERR3141399","AMPLICON",502,77253282,"PRJEB31110","SAMEA5320059",50108855,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170365","SAMEA5320059","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320059","T1F21","food metagenome","Illumina MiSeq","ERP113625","T1F21","ERR3141399",76207,76369,65904,46036,513
"ERR3141400","AMPLICON",502,72144428,"PRJEB31110","SAMEA5320060",44230360,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170366","SAMEA5320060","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320060","T1F22","food metagenome","Illumina MiSeq","ERP113625","T1F22","ERR3141400",73625,73265,63361,32660,423
"ERR3141401","AMPLICON",502,60742502,"PRJEB31110","SAMEA5320061",38836629,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170367","SAMEA5320061","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320061","T1F23","food metagenome","Illumina MiSeq","ERP113625","T1F23","ERR3141401",62525,62612,58435,44020,113
"ERR3141402","AMPLICON",502,60541200,"PRJEB31110","SAMEA5320062",37208498,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170368","SAMEA5320062","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320062","T1F24","food metagenome","Illumina MiSeq","ERP113625","T1F24","ERR3141402",61103,61055,50225,24637,432
"ERR3141403","AMPLICON",502,65366926,"PRJEB31110","SAMEA5320063",42056047,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170369","SAMEA5320063","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320063","T1F25","food metagenome","Illumina MiSeq","ERP113625","T1F25","ERR3141403",66085,66267,56551,39181,464
"ERR3141404","AMPLICON",502,45146868,"PRJEB31110","SAMEA5320064",27455492,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170370","SAMEA5320064","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320064","T1F26","food metagenome","Illumina MiSeq","ERP113625","T1F26","ERR3141404",48527,48133,44054,31189,200
"ERR3141405","AMPLICON",502,145958508,"PRJEB31110","SAMEA5320065",91443282,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170371","SAMEA5320065","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320065","T1F27","food metagenome","Illumina MiSeq","ERP113625","T1F27","ERR3141405",172960,173311,158685,73104,710
"ERR3141406","AMPLICON",502,124657644,"PRJEB31110","SAMEA5320066",74237660,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170372","SAMEA5320066","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320066","T1F28","food metagenome","Illumina MiSeq","ERP113625","T1F28","ERR3141406",147736,149138,125527,59718,1146
"ERR3141407","AMPLICON",502,163307628,"PRJEB31110","SAMEA5320067",101915575,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170373","SAMEA5320067","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320067","T1F29","food metagenome","Illumina MiSeq","ERP113625","T1F29","ERR3141407",189370,191325,160063,98154,1527
"ERR3141408","AMPLICON",502,65790614,"PRJEB31110","SAMEA5320068",39482659,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170374","SAMEA5320068","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:38:00,1,"SAMEA5320068","T1F3","food metagenome","Illumina MiSeq","ERP113625","T1F3","ERR3141408",73885,74113,63025,40988,488
"ERR3141409","AMPLICON",502,206215576,"PRJEB31110","SAMEA5320069",129307447,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170375","SAMEA5320069","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320069","T1F30","food metagenome","Illumina MiSeq","ERP113625","T1F30","ERR3141409",184844,185735,160209,103786,810
"ERR3141410","AMPLICON",502,151089952,"PRJEB31110","SAMEA5320070",95391183,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170376","SAMEA5320070","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320070","T1F31","food metagenome","Illumina MiSeq","ERP113625","T1F31","ERR3141410",175581,175871,157383,105554,1048
"ERR3141411","AMPLICON",502,112823496,"PRJEB31110","SAMEA5320071",66518299,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170377","SAMEA5320071","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320071","T1F32","food metagenome","Illumina MiSeq","ERP113625","T1F32","ERR3141411",140201,141098,119342,74247,911
"ERR3141412","AMPLICON",502,95800174,"PRJEB31110","SAMEA5320072",60529358,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170378","SAMEA5320072","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320072","T1F33","food metagenome","Illumina MiSeq","ERP113625","T1F33","ERR3141412",106218,106501,94377,54866,663
"ERR3141413","AMPLICON",502,72568116,"PRJEB31110","SAMEA5320073",43893813,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170379","SAMEA5320073","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320073","T1F34","food metagenome","Illumina MiSeq","ERP113625","T1F34","ERR3141413",78056,78053,64988,29556,540
"ERR3141414","AMPLICON",502,75728206,"PRJEB31110","SAMEA5320074",47217687,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170380","SAMEA5320074","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320074","T1F35","food metagenome","Illumina MiSeq","ERP113625","T1F35","ERR3141414",86044,86782,70849,43353,914
"ERR3141415","AMPLICON",502,47893310,"PRJEB31110","SAMEA5320075",28817166,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170381","SAMEA5320075","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320075","T1F36","food metagenome","Illumina MiSeq","ERP113625","T1F36","ERR3141415",51714,52010,42756,25328,418
"ERR3141416","AMPLICON",502,83569446,"PRJEB31110","SAMEA5320076",52719866,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170382","SAMEA5320076","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320076","T1F37","food metagenome","Illumina MiSeq","ERP113625","T1F37","ERR3141416",91462,92447,74623,37555,994
"ERR3141417","AMPLICON",502,78177464,"PRJEB31110","SAMEA5320077",46451400,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170383","SAMEA5320077","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320077","T1F38","food metagenome","Illumina MiSeq","ERP113625","T1F38","ERR3141417",94674,94915,86133,63427,405
"ERR3141418","AMPLICON",502,112018288,"PRJEB31110","SAMEA5320078",68512685,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170384","SAMEA5320078","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320078","T1F39","food metagenome","Illumina MiSeq","ERP113625","T1F39","ERR3141418",144692,144751,137487,111054,362
"ERR3141419","AMPLICON",502,127092846,"PRJEB31110","SAMEA5320079",80678252,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170385","SAMEA5320079","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320079","T1F4","food metagenome","Illumina MiSeq","ERP113625","T1F4","ERR3141419",135484,136041,120353,83581,787
"ERR3141420","AMPLICON",502,95012536,"PRJEB31110","SAMEA5320080",59379676,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170386","SAMEA5320080","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320080","T1F40","food metagenome","Illumina MiSeq","ERP113625","T1F40","ERR3141420",95927,95940,82036,39098,655
"ERR3141421","AMPLICON",502,52914314,"PRJEB31110","SAMEA5320081",31098612,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170387","SAMEA5320081","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:39:00,1,"SAMEA5320081","T1F41","food metagenome","Illumina MiSeq","ERP113625","T1F41","ERR3141421",73280,73164,69725,55928,136
"ERR3141422","AMPLICON",502,69591256,"PRJEB31110","SAMEA5320082",41445831,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170388","SAMEA5320082","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320082","T1F42","food metagenome","Illumina MiSeq","ERP113625","T1F42","ERR3141422",86018,85987,73095,53660,649
"ERR3141423","AMPLICON",502,108671956,"PRJEB31110","SAMEA5320083",68083326,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170389","SAMEA5320083","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320083","T1F43","food metagenome","Illumina MiSeq","ERP113625","T1F43","ERR3141423",125514,126485,108888,49861,856
"ERR3141424","AMPLICON",502,107453602,"PRJEB31110","SAMEA5320084",65048772,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170390","SAMEA5320084","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320084","T1F44","food metagenome","Illumina MiSeq","ERP113625","T1F44","ERR3141424",124181,124286,108261,55342,924
"ERR3141425","AMPLICON",502,106064568,"PRJEB31110","SAMEA5320085",64626496,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170391","SAMEA5320085","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320085","T1F45","food metagenome","Illumina MiSeq","ERP113625","T1F45","ERR3141425",133337,134441,114905,70815,1123
"ERR3141426","AMPLICON",502,94657622,"PRJEB31110","SAMEA5320086",56823439,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170392","SAMEA5320086","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320086","T1F46","food metagenome","Illumina MiSeq","ERP113625","T1F46","ERR3141426",112142,112654,99515,67262,743
"ERR3141427","AMPLICON",502,51062938,"PRJEB31110","SAMEA5320087",30425212,"TEAGASC FOOD RESEARCH CENTRE","5/18/2016","public","fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1","2/20/2019",2019-02-20 17:03:20,"2/10/2019",2019-02-06 12:31:37,"Food Processing","Dairy Processing","Bulk Tank Milk","ERX3170393","SAMEA5320087","Ireland","Europe","Ireland","52.1636? N","8.2629? W","TEAGASC FOOD RESEARCH CENTRE",2019-02-20 17:03:20,2019-02-06 12:31:37,"public","Illumina MiSeq","metagenome","Farm Milk to Milk Powder 16S","PAIRED","PCR","METAGENOMIC","miscellaneous natural or artificial environment","food metagenome","ILLUMINA","farm to powder",2019-02-21,2019-02-23 10:40:00,1,"SAMEA5320087","T1F47","food metagenome","Illumina MiSeq","ERP113625","T1F47","ERR3141427",65985,66354,55859,30923,660
